moon,mass,diameter,orbital period
Metis,16.5563025007673,127690,7.07
Adrastea,15.301029995664,128690,7.17
Amalthea,18.3180633349628,181366,11.95
Thebe,17.6334684555796,221889,16.16
Io,22.9509438521411,421700,1.769
Europa,22.6812412373756,671034,3.551
Ganymede,23.1708188980337,1070412,7.154
Callisto,23.031771907514,1882709,16.689
Themisto,14.8388490907373,7393216,129.87
Leda,15.7781512503836,11187781,240.82
Himalia,18.8260748027008,11451971,250.23
Lysithea,16.7993405494536,11740560,259.89
Elara,17.9395192526186,11778034,257.62
